"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2024","1,300.00","1,300.00","1,300.00","1,300.00","","0.00%"
"09/03/2024","1,300.00","1,300.00","1,300.00","1,300.00","","-0.38%"
"09/02/2024","1,305.00","1,305.00","1,305.00","1,305.00","","-0.84%"
"08/30/2024","1,316.00","1,316.00","1,316.00","1,316.00","","-1.13%"
"08/29/2024","1,331.00","1,331.00","1,331.00","1,331.00","","-1.41%"
"08/28/2024","1,350.00","1,350.00","1,350.00","1,350.00","","-2.24%"
"08/27/2024","1,381.00","1,381.00","1,381.00","1,381.00","","-2.33%"
"08/23/2024","1,414.00","1,414.00","1,414.00","1,414.00","","-2.08%"
"08/22/2024","1,444.00","1,444.00","1,444.00","1,444.00","","-2.89%"
"08/21/2024","1,487.00","1,487.00","1,487.00","1,487.00","","-2.24%"
"08/20/2024","1,521.00","1,521.00","1,521.00","1,521.00","","-1.49%"
"08/19/2024","1,544.00","1,544.00","1,544.00","1,544.00","","-0.52%"
"08/16/2024","1,552.00","1,552.00","1,552.00","1,552.00","","-0.13%"
"08/15/2024","1,554.00","1,554.00","1,554.00","1,554.00","","-0.38%"
"08/14/2024","1,560.00","1,560.00","1,560.00","1,560.00","","-0.19%"
"08/13/2024","1,563.00","1,563.00","1,563.00","1,563.00","","-1.33%"
"08/12/2024","1,584.00","1,584.00","1,584.00","1,584.00","","-0.94%"
"08/09/2024","1,599.00","1,599.00","1,599.00","1,599.00","","-1.30%"
"08/08/2024","1,620.00","1,620.00","1,620.00","1,620.00","","-1.88%"
"08/07/2024","1,651.00","1,651.00","1,651.00","1,651.00","","-1.61%"
"08/06/2024","1,678.00","1,678.00","1,678.00","1,678.00","","-1.12%"
"08/05/2024","1,697.00","1,697.00","1,697.00","1,697.00","","-0.47%"
"08/02/2024","1,705.00","1,705.00","1,705.00","1,705.00","","-0.47%"
"08/01/2024","1,713.00","1,713.00","1,713.00","1,713.00","","-1.50%"
"07/31/2024","1,739.00","1,739.00","1,739.00","1,739.00","","-1.86%"
"07/30/2024","1,772.00","1,772.00","1,772.00","1,772.00","","-1.12%"
"07/29/2024","1,792.00","1,792.00","1,792.00","1,792.00","","0.00%"
"07/26/2024","1,792.00","1,792.00","1,792.00","1,792.00","","0.39%"
"07/25/2024","1,785.00","1,785.00","1,785.00","1,785.00","","1.13%"
"07/24/2024","1,765.00","1,765.00","1,765.00","1,765.00","","2.14%"
"07/23/2024","1,728.00","1,728.00","1,728.00","1,728.00","","0.93%"
"07/22/2024","1,712.00","1,712.00","1,712.00","1,712.00","","-0.12%"
"07/19/2024","1,714.00","1,714.00","1,714.00","1,714.00","","0.00%"
"07/18/2024","1,714.00","1,714.00","1,714.00","1,714.00","","0.06%"
"07/17/2024","1,713.00","1,713.00","1,713.00","1,713.00","","0.00%"
"07/16/2024","1,713.00","1,713.00","1,713.00","1,713.00","","0.65%"
"07/15/2024","1,702.00","1,702.00","1,702.00","1,702.00","","1.43%"
"07/12/2024","1,678.00","1,678.00","1,678.00","1,678.00","","2.44%"
"07/11/2024","1,638.00","1,638.00","1,638.00","1,638.00","","3.74%"
"07/10/2024","1,579.00","1,579.00","1,579.00","1,579.00","","2.80%"
"07/09/2024","1,536.00","1,536.00","1,536.00","1,536.00","","0.33%"
"07/08/2024","1,531.00","1,531.00","1,531.00","1,531.00","","-0.97%"
"07/05/2024","1,546.00","1,546.00","1,546.00","1,546.00","","-1.40%"
"07/04/2024","1,568.00","1,568.00","1,568.00","1,568.00","","-2.43%"
"07/03/2024","1,607.00","1,607.00","1,607.00","1,607.00","","-2.01%"
"07/02/2024","1,640.00","1,640.00","1,640.00","1,640.00","","-1.32%"
"07/01/2024","1,662.00","1,662.00","1,662.00","1,662.00","","-0.30%"
"06/28/2024","1,667.00","1,667.00","1,667.00","1,667.00","","-0.30%"
"06/27/2024","1,672.00","1,672.00","1,672.00","1,672.00","","-0.65%"
"06/26/2024","1,683.00","1,683.00","1,683.00","1,683.00","","-3.00%"
"06/25/2024","1,735.00","1,735.00","1,735.00","1,735.00","","-3.18%"
"06/24/2024","1,792.00","1,792.00","1,792.00","1,792.00","","-1.92%"
"06/21/2024","1,827.00","1,827.00","1,827.00","1,827.00","","-2.14%"
"06/20/2024","1,867.00","1,867.00","1,867.00","1,867.00","","-2.71%"
"06/19/2024","1,919.00","1,919.00","1,919.00","1,919.00","","-1.79%"
"06/18/2024","1,954.00","1,954.00","1,954.00","1,954.00","","-0.31%"
"06/17/2024","1,960.00","1,960.00","1,960.00","1,960.00","","0.51%"
"06/14/2024","1,950.00","1,950.00","1,950.00","1,950.00","","1.56%"
"06/13/2024","1,920.00","1,920.00","1,920.00","1,920.00","","3.00%"
"06/12/2024","1,864.00","1,864.00","1,864.00","1,864.00","","3.15%"
"06/11/2024","1,807.00","1,807.00","1,807.00","1,807.00","","2.15%"
"06/10/2024","1,769.00","1,769.00","1,769.00","1,769.00","","1.09%"
"06/07/2024","1,750.00","1,750.00","1,750.00","1,750.00","","1.10%"
"06/06/2024","1,731.00","1,731.00","1,731.00","1,731.00","","1.70%"
"06/05/2024","1,702.00","1,702.00","1,702.00","1,702.00","","1.37%"
"06/04/2024","1,679.00","1,679.00","1,679.00","1,679.00","","-0.12%"
"06/03/2024","1,681.00","1,681.00","1,681.00","1,681.00","","-0.71%"
"05/31/2024","1,693.00","1,693.00","1,693.00","1,693.00","","-1.46%"
"05/30/2024","1,718.00","1,718.00","1,718.00","1,718.00","","-2.50%"
"05/29/2024","1,762.00","1,762.00","1,762.00","1,762.00","","-2.17%"
"05/28/2024","1,801.00","1,801.00","1,801.00","1,801.00","","-1.26%"
"05/24/2024","1,824.00","1,824.00","1,824.00","1,824.00","","-0.44%"
"05/23/2024","1,832.00","1,832.00","1,832.00","1,832.00","","0.05%"
